epoch;train_loss;val_loss;si_sdr;pesq;stoi;der
1;0,180178824;-1,696778986;1,8133061;1,127577376;0,685248071;0,239059637
2;-2,343338952;-3,193920623;3,4644344;1,126519328;0,721150937;0,188460497
3;-2,71963219;-3,960989876;4,3124785;1,139260644;0,741581636;0,162661538
4;-3,232108565;-2,875464233;3,0607295;1,131101686;0,733583973;0,203916445
5;-3,795934407;-2,803281676;3,005512;1,135314578;0,673572424;0,201431202
6;-4,162472349;-4,3252345;4,700083;1,158358192;0,772041442;0,145253915
7;-3,933717677;-4,099042643;4,4484344;1,179515147;0,707756023;0,164500796
8;-4,586293499;-3,634347222;3,9221528;1,17663365;0,735148915;0,183313963
9;-4,714158454;-4,187566627;4,5237265;1,187894708;0,77943733;0,154464935
10;-5,03698966;-4,979423891;5,455846;1,257327402;0,759411636;0,144009721
11;-5,147374504;-5,390318307;5,850737;1,204627562;0,786314588;0,125630234
12;-5,429307675;-5,641585328;6,1803007;1,210292089;0,762824128;0,117538739
13;-5,528041371;-5,73851037;6,2332973;1,26369561;0,820378538;0,113784003
14;-5,612562936;-6,349191319;6,9033;1,225613159;0,80542715;0,099491397
15;-5,83723018;-5,537986842;5,9712996;1,240277296;0,767368691;0,121391461
16;-5,85866041;-5,152567603;5,6607957;1,200199783;0,81365611;0,12617926
17;-5,825186585;-5,55976393;6,0615287;1,301498562;0,819385646;0,118925475
18;-6,074767239;-5,105158026;5,502945;1,265121073;0,794388184;0,14706976
19;-6,612984858;-5,702395396;6,203706;1,24752745;0,768762233;0,11601164
20;-6,595002656;-5,858655063;6,4164;1,300378984;0,797849919;0,116666275
21;-6,373920871;-5,797198166;6,325051;1,27488004;0,781681589;0,119229999
22;-6,546169301;-4,844402747;5,290265;1,201646358;0,799199778;0,137530529
23;-6,931256903;-5,342885277;5,8091364;1,283585036;0,772320977;0,139285354
24;-7,073905158;-6,925319585;7,583262;1,341931963;0,828954896;0,089809815
25;-7,028786294;-6,472296628;7,04438;1,275092101;0,795940562;0,100235536
26;-7,195155281;-5,717173316;6,2694883;1,254339498;0,775663644;0,115981323
27;-6,992998422;-6,479206172;7,0969515;1,291333246;0,796662184;0,100973819
28;-7,07436643;-4,927969391;5,36656;1,281794423;0,766266887;0,134685153
29;-7,221462237;-5,907845909;6,467528;1,313739395;0,834005027;0,109555825
30;-7,072559563;-5,869784399;6,4113274;1,32356497;0,764146469;0,117845283
31;-7,435393759;-6,419697285;7,0252395;1,243531722;0,806057655;0,094723453
32;-7,138650709;-6,165561849;6,743496;1,29955709;0,814647133;0,120136852
33;-7,277834638;-7,457801645;8,175066;1,33270123;0,822825815;0,082532324
34;-7,323072825;-6,681455265;7,3180504;1,312035334;0,808355669;0,094141829
35;-7,612599552;-6,837436806;7,475109;1,292467898;0,792991679;0,09391908
36;-7,139044555;-6,260803916;6,8584223;1,357246614;0,830510909;0,108103967
37;-7,322171841;-5,641098283;6,1741524;1,303281242;0,821679869;0,115960599
